,"Greece, EURIBOR, 12 Month, Fixing","Bahrain, BHIBOR, 1 Year, Fixing, Ask","Germany, EURIBOR, 12 Month, Fixing","United States, LIBOR, 12 Month, Fixing","United Kingdom, LIBOR, 12 Month, Fixing","Japan, LIBOR, 12 Month, Fixing","France, EURIBOR, 12 Month, Fixing","Singapore, 12 Month","Spain, LIBOR, 12 Month, Fixing","Switzerland, LIBOR, 12 Month, Fixing","Italy, LIBOR, 12 Month, Fixing","Belgium, EURIBOR, 12 Month, Fixing","Netherlands, EURIBOR, 12 Month, Fixing","Finland, EURIBOR, 12 Month, Fixing","Hong Kong, HIBOR, 12 Month, Fixing","Czech Republic, PRIBOR, 12 Month, Fixing","Portugal, EURIBOR, 12 Month, Fixing","Romania, ROBOR, 12 Month, Fixing","Denmark, CIBOR, 12 Month, Fixing"
01/11/1988,,3.75,5.25,9.375,13,4.5,8.5,5.5,,,,,,,,,,,
01/12/1988,,3.75,5.58,9.625,12.9375,4.75,8.75,5.63,,,,,,,,,,,
01/01/1989,,3.75,6.28,9.75,12.5625,4.75,9.125,5.56,,,,,,,,,,,
01/02/1989,,3.75,7.3,10.75,13.25,5,9.8125,5.56,9.65625,6.25,9.65625,,,,,,,,
01/03/1989,,3.75,6.95,11.0625,12.9375,4.9375,9.3125,5.5,9.375,6.20313,9.375,,,,,,,,
01/04/1989,,3.75,6.9,10.125,12.9375,5.125,9,5.44,9.1875,6.625,9.1875,,,,,,,,
01/05/1989,,3.75,7.55,9.5,13.8125,5.375,9.25,5.44,9.5625,7.8125,9.5625,,,,,,,,
01/06/1989,,3.75,7.25,9,14.1875,5.5625,9.4375,5.44,9.8125,7.25,9.8125,,,,,,,,
01/07/1989,,3.75,6.95,8.25,13.375,5.375,9,5.38,9.25,6.79688,9.25,,,,,,,,
01/08/1989,,3.75,7.23,8.9375,13.6875,5.5,9.1875,5.25,9.6875,7.375,9.6875,,,,,,,,
01/09/1989,,3.75,7.93,9.0625,14.5625,5.6875,9.75,5.31,10.4375,7.8125,10.4375,,,,,,,,
01/10/1989,,3.75,8.1,8.4375,14.6875,6.5,10.125,5.38,10.5625,7.9375,10.5625,,,,,,,,
01/11/1989,,3.75,8.25,8.25,14.75,6.6875,10.6953,5.63,10.96875,7.875,10.96875,10.06,,,,,,,
01/12/1989,,3.75,8.3,8.25,14.6875,6.875,11.25,5.69,11.3125,8.625,11.3125,10.31,,,,,,,
01/01/1990,,3.75,8.63,8.6875,15,7.3125,11.25,6.38,11.375,9.4375,11.375,10.81,,,,,,,
01/02/1990,,3.75,9.15,8.6875,15.3125,7.59375,11.3125,6.38,11.75,9.375,11.75,10.94,9.39,15.39,,,,,
